credit,debit,date,l,s,d
145,76,1583-11-16,86,0,8.25
2,76,1583-11-28,12,0,0
2,76,1583-11-28,12,19,0
2,76,1583-12-06,75,0,0
2,76,1583-12-12,1,13,6
2,76,1583-12-12,2,16,8
2,76,1583-12-14,8,6,8
76,156,1583-12-15,0,3,9
78,76,1583-12-15,4,14,1.5
76,88,1583-12-26,5644,0,0.25
1,26,1582-11-08,291,6,11
26,2,1583-01-09,291,6,11
26,2,1583-01-15,165,8,4
26,2,1583-03-12,217,4,7
26,2,1583-04-09,174,18,10
26,2,1583-05-07,88,9,0
26,2,1583-06-24,342,1,8
1,57,1582-11-08,33,6,8
57,2,1583-05-05,16,13,4
57,2,1584-03-15,16,13,4
1,29,1582-11-08,159,14,2
29,2,1583-08-17,0,12,2
1,77,1582-11-08,89,14,11
164,77,1582-11-23,5,9,6
164,77,1583-01-06,0,7,11
35,77,1583-01-06,20,13,1
164,77,1583-01-06,6,18,11
77,66,1583-01-10,26,1,5
35,77,1583-01-17,4,17,10
75,77,1583-01-31,1,10,4
53,77,1583-01-31,1,10,6
53,77,1583-01-31,28,17,4
17,77,1583-01-31,32,13,1.5
35,77,1583-01-31,9,15,0
164,77,1583-02-14,0,9,2
90,77,1583-02-14,38,6,8
90,77,1583-02-14,50,16,7
2,77,1583-03-12,20,0,0
77,26,1583-03-12,287,5,10
2,77,1583-03-16,20,0,0
26,77,1583-04-06,80,0,0
2,77,1583-04-30,49,3,4
2,77,1583-05-12,120,0,0
2,77,1583-05-12,80,0,0
77,26,1583-05-18,242,10,0
77,26,1583-05-18,404,3,4
2,77,1583-05-27,50,0,0
77,26,1583-06-20,80,1,0
2,77,1583-06-28,2,0,0
2,77,1583-07-02,130,3,4
2,77,1583-07-14,12,8,7
2,77,1583-07-14,151,1,4
2,77,1583-07-19,3,16,8
2,77,1583-07-20,129,14,2
2,77,1583-07-20,20,0,0
26,77,1583-07-21,157,1,8
2,77,1583-07-21,200,0,0
2,77,1583-07-23,200,0,0
2,77,1583-07-26,20,0,0
2,77,1583-07-27,22,12,8
165,77,1583-08-25,146,11,6
62,77,1583-09-19,96,0,0
77,2,1583-10-03,962,11,6.5
2,77,1583-10-26,9,9,0
2,77,1583-10-28,144,12,4.5
2,77,1583-11-05,6,0,0
77,87,1583-11-05,6,0,0
77,90,1583-11-16,154,1,4.5
